Year,Section,Leeftijd,Per maand,Per week,Per dag,Fulltime werkweek in bedrijf,21 jaar en ouder,20 jaar,19 jaar,18 jaar,17 jaar,16 jaar,15 jaar,22 jaar en ouder,21 jaar,Column_9,Column_8,Minimumloon per uur
2025,Bedragen per 1 juli 2025,21 jaar en ouder,,,,,,,,,,,,,,,,"€ 14,40"
2025,Bedragen per 1 juli 2025,20 jaar,,,,,,,,,,,,,,,,"€ 11,52"
2025,Bedragen per 1 juli 2025,19 jaar,,,,,,,,,,,,,,,,"€ 8,64"
2025,Bedragen per 1 juli 2025,18 jaar,,,,,,,,,,,,,,,,"€ 7,20"
2025,Bedragen per 1 juli 2025,17 jaar,,,,,,,,,,,,,,,,"€ 5,69"
2025,Bedragen per 1 juli 2025,16 jaar,,,,,,,,,,,,,,,,"€ 4,97"
2025,Bedragen per 1 juli 2025,15 jaar,,,,,,,,,,,,,,,,"€ 4,32"
2025,Bedragen per 1 juli 2025,21 jaar en ouder,,,,,,,,,,,,,,,,"€ 14,06"
2025,Bedragen per 1 juli 2025,20 jaar,,,,,,,,,,,,,,,,"€ 11,25"
2025,Bedragen per 1 juli 2025,19 jaar,,,,,,,,,,,,,,,,"€ 8,44"
2025,Bedragen per 1 juli 2025,18 jaar,,,,,,,,,,,,,,,,"€ 7,03"
2025,Bedragen per 1 juli 2025,17 jaar,,,,,,,,,,,,,,,,"€ 5,55"
2025,Bedragen per 1 juli 2025,16 jaar,,,,,,,,,,,,,,,,"€ 4,85"
2025,Bedragen per 1 juli 2025,15 jaar,,,,,,,,,,,,,,,,"€ 4,22"
2026,Bedragen per 1 januari 2026,21 jaar en ouder,,,,,,,,,,,,,,,,"€ 14,71"
2026,Bedragen per 1 januari 2026,20 jaar,,,,,,,,,,,,,,,,"€ 11,77"
2026,Bedragen per 1 januari 2026,19 jaar,,,,,,,,,,,,,,,,"€ 8,83"
2026,Bedragen per 1 januari 2026,18 jaar,,,,,,,,,,,,,,,,"€ 7,36"
2026,Bedragen per 1 januari 2026,17 jaar,,,,,,,,,,,,,,,,"€ 5,81"
2026,Bedragen per 1 januari 2026,16 jaar,,,,,,,,,,,,,,,,"€ 5,07"
2026,Bedragen per 1 januari 2026,15 jaar,,,,,,,,,,,,,,,,"€ 4,41"
